#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 00 999 99.0 99.0  0.89  7.14  5.38 154 9999.0  17.4  16.3 999.0 99.0 99.00
2023 01 01 00 30 999 99.0 99.0  0.87  6.90  5.15 168 9999.0  17.3  16.1 999.0 99.0 99.00
2023 01 01 01 00 999 99.0 99.0  0.85  6.45  5.20 201 9999.0  16.3  15.8 999.0 99.0 99.00
2023 01 01 01 30 999 99.0 99.0  0.84  7.14  5.15 166 9999.0  16.1  15.7 999.0 99.0 99.00
2023 01 01 02 00 999 99.0 99.0  0.85  6.25  5.22 200 9999.0  15.4  15.5 999.0 99.0 99.00
2023 01 01 02 30 999 99.0 99.0  0.79  6.06  4.99 188 9999.0  15.4  15.5 999.0 99.0 99.00
2023 01 01 03 00 999 99.0 99.0  0.76  6.45  5.09 190 9999.0  15.6  15.4 999.0 99.0 99.00
2023 01 01 03 30 999 99.0 99.0  0.81  6.90  5.15 166 9999.0  15.8  15.2 999.0 99.0 99.00
2023 01 01 04 00 999 99.0 99.0  0.74  6.25  5.07 178 9999.0  15.0  14.9 999.0 99.0 99.00
2023 01 01 04 30 999 99.0 99.0  0.75  6.25  5.09 172 9999.0  14.3  14.7 999.0 99.0 99.00
2023 01 01 05 00 999 99.0 99.0  0.81  6.45  5.21 168 9999.0  13.8  14.5 999.0 99.0 99.00
2023 01 01 05 30 999 99.0 99.0  0.76  6.45  5.14 173 9999.0  13.8  14.5 999.0 99.0 99.00
2023 01 01 06 00 999 99.0 99.0  0.79  6.25  5.16 172 9999.0  13.4  14.4 999.0 99.0 99.00
2023 01 01 06 30 999 99.0 99.0  0.70  6.25  5.01 166 9999.0  13.5  14.4 999.0 99.0 99.00
2023 01 01 07 00 999 99.0 99.0  0.71  6.25  5.13 169 9999.0  13.4  14.2 999.0 99.0 99.00
2023 01 01 07 30 999 99.0 99.0  0.75  6.25  5.15 170 9999.0  13.9  14.1 999.0 99.0 99.00
2023 01 01 08 00 999 99.0 99.0  0.73  6.06  5.13 175 9999.0  13.5  14.1 999.0 99.0 99.00
2023 01 01 08 30 999 99.0 99.0  0.71  6.67  5.19 170 9999.0  13.9  14.0 999.0 99.0 99.00
2023 01 01 09 00 999 99.0 99.0  0.70  6.06  5.06 175 9999.0  14.1  14.2 999.0 99.0 99.00
2023 01 01 09 30 999 99.0 99.0  0.68  6.25  5.15 169 9999.0  14.1  14.7 999.0 99.0 99.00
2023 01 01 10 00 999 99.0 99.0  0.63  6.06  5.03 185 9999.0  14.2  14.9 999.0 99.0 99.00
2023 01 01 10 30 999 99.0 99.0  0.67  6.25  5.18 162 9999.0  14.5  14.8 999.0 99.0 99.00
2023 01 01 11 00 999 99.0 99.0  0.67  5.71  5.22 183 9999.0  15.2  14.7 999.0 99.0 99.00
2023 01 01 11 30 999 99.0 99.0  0.62  6.25  5.22 170 9999.0  14.5  13.7 999.0 99.0 99.00
2023 01 01 12 00 999 99.0 99.0  0.66  6.25  5.36 165 9999.0  13.8  14.1 999.0 99.0 99.00
2023 01 01 12 30 999 99.0 99.0  0.64  5.71  5.32 185 9999.0  14.0  14.4 999.0 99.0 99.00
2023 01 01 13 00 999 99.0 99.0  0.61  6.67  4.99 165 9999.0  14.0  14.7 999.0 99.0 99.00
2023 01 01 13 30 999 99.0 99.0  0.63  6.25  4.87 155 9999.0  14.2  15.1 999.0 99.0 99.00
2023 01 01 14 00 999 99.0 99.0  0.63  6.25  4.65 156 9999.0  14.3  15.2 999.0 99.0 99.00
2023 01 01 14 30 999 99.0 99.0  0.65  6.25  4.73 161 9999.0  14.3  15.4 999.0 99.0 99.00
2023 01 01 15 00 999 99.0 99.0  0.60  6.06  4.55 171 9999.0  14.5  15.0 999.0 99.0 99.00
2023 01 01 15 30 999 99.0 99.0  0.57  6.25  4.51 167 9999.0  14.8  15.0 999.0 99.0 99.00
2023 01 01 16 00 999 99.0 99.0  0.56  6.67  4.57 174 9999.0  15.4  14.7 999.0 99.0 99.00
2023 01 01 16 30 999 99.0 99.0  0.54  6.45  4.82 168 9999.0  15.3  14.8 999.0 99.0 99.00
2023 01 01 17 00 999 99.0 99.0  0.52  6.25  4.91 166 9999.0  15.2  15.0 999.0 99.0 99.00
2023 01 01 17 30 999 99.0 99.0  0.58  6.67  4.96 182 9999.0  15.3  15.1 999.0 99.0 99.00
2023 01 01 18 00 999 99.0 99.0  0.58  5.88  5.01 179 9999.0  15.8  15.4 999.0 99.0 99.00
2023 01 01 18 30 999 99.0 99.0  0.54  6.90  5.01 164 9999.0  15.9  15.6 999.0 99.0 99.00
2023 01 01 19 00 999 99.0 99.0  0.52  6.67  5.13 163 9999.0  16.4  15.8 999.0 99.0 99.00
2023 01 01 19 30 999 99.0 99.0  0.53  6.06  5.23 183 9999.0  16.8  16.0 999.0 99.0 99.00
2023 01 01 20 00 999 99.0 99.0  0.52  6.67  5.33 165 9999.0  17.2  16.1 999.0 99.0 99.00
2023 01 01 20 30 999 99.0 99.0  0.51  6.67  5.21 181 9999.0  17.3  16.3 999.0 99.0 99.00
2023 01 01 21 00 999 99.0 99.0  0.51  6.25  5.24 166 9999.0  17.0  16.2 999.0 99.0 99.00
2023 01 01 21 30 999 99.0 99.0  0.51  5.71  5.23 173 9999.0  17.5  16.3 999.0 99.0 99.00
2023 01 01 22 00 999 99.0 99.0  0.51  5.88  5.11 173 9999.0  17.6  16.3 999.0 99.0 99.00
2023 01 01 22 30 999 99.0 99.0  0.50  6.25  5.17 175 9999.0  17.7  16.3 999.0 99.0 99.00
2023 01 01 23 00 999 99.0 99.0  0.49  6.45  5.21 189 9999.0  17.2  16.5 999.0 99.0 99.00
