Year,Month,Day,Hour,Minute,Wave Height,Direction Dominant Period,Average Wave Period,Tide
2023,01,01,00,00,0.89,7.14,5.38,99.00
2023,01,01,00,30,0.87,6.90,5.15,99.00
2023,01,01,01,00,0.85,6.45,5.20,99.00
2023,01,01,01,30,0.84,7.14,5.15,99.00
2023,01,01,02,00,0.85,6.25,5.22,99.00
2023,01,01,02,30,0.79,6.06,4.99,99.00
2023,01,01,03,00,0.76,6.45,5.09,99.00
2023,01,01,03,30,0.81,6.90,5.15,99.00
2023,01,01,04,00,0.74,6.25,5.07,99.00
2023,01,01,04,30,0.75,6.25,5.09,99.00
2023,01,01,05,00,0.81,6.45,5.21,99.00
2023,01,01,05,30,0.76,6.45,5.14,99.00
2023,01,01,06,00,0.79,6.25,5.16,99.00
2023,01,01,06,30,0.70,6.25,5.01,99.00
2023,01,01,07,00,0.71,6.25,5.13,99.00
2023,01,01,07,30,0.75,6.25,5.15,99.00
2023,01,01,08,00,0.73,6.06,5.13,99.00
2023,01,01,08,30,0.71,6.67,5.19,99.00
2023,01,01,09,00,0.70,6.06,5.06,99.00
2023,01,01,09,30,0.68,6.25,5.15,99.00
2023,01,01,10,00,0.63,6.06,5.03,99.00
2023,01,01,10,30,0.67,6.25,5.18,99.00
2023,01,01,11,00,0.67,5.71,5.22,99.00
2023,01,01,11,30,0.62,6.25,5.22,99.00
2023,01,01,12,00,0.66,6.25,5.36,99.00
2023,01,01,12,30,0.64,5.71,5.32,99.00
2023,01,01,13,00,0.61,6.67,4.99,99.00
2023,01,01,13,30,0.63,6.25,4.87,99.00
2023,01,01,14,00,0.63,6.25,4.65,99.00
2023,01,01,14,30,0.65,6.25,4.73,99.00
2023,01,01,15,00,0.60,6.06,4.55,99.00
2023,01,01,15,30,0.57,6.25,4.51,99.00
2023,01,01,16,00,0.56,6.67,4.57,99.00
2023,01,01,16,30,0.54,6.45,4.82,99.00
2023,01,01,17,00,0.52,6.25,4.91,99.00
2023,01,01,17,30,0.58,6.67,4.96,99.00
2023,01,01,18,00,0.58,5.88,5.01,99.00
